No,Component Name,Category,Keywords,Description,Animation Library,CSS Only,Trigger Type,Complexity,Performance Impact,Accessibility Notes,Best For,Do Not Use For,Mobile Friendly,Implementation Hints
11,Text Pressure,Text,"text pressure cursor weight bold proximity mouse","Text weight increases as cursor gets closer creating pressure effect",Custom JS,No,cursor,Medium,Medium,"Provide static weight fallback; variable fonts required","Experimental typography, creative agencies, art projects","Mobile interfaces, standard web apps",No,"Use variable font with wght axis; addEventListener mousemove; calculate per-character distance"
12,Circular Text,Text,"circular text arc rotate spinning badge","Text arranged in a circle that optionally rotates",CSS or SVG,Yes,continuous/load,Low,Low,"Provide linear text alternative via aria-label","Badges, decorative elements, logos, stamps","Body content, navigation items",Yes,"SVG textPath on circle; or CSS with individual character rotation transforms; animation: rotate"
13,Count Up Number,Text,"count up number counter animate increment ticker","Number animates from 0 to target value",Motion or custom JS,No,scroll/load,Low,Low,"Ensure final number is in aria-label; don't rely on animation for comprehension","Statistics, dashboards, pricing, achievements","Critical data that must be immediately readable",Yes,"requestAnimationFrame with easing; or Motion's useMotionValue + useTransform; IntersectionObserver trigger"
14,Scroll Reveal,Scroll,"scroll reveal fade up slide entrance intersection","Elements fade/slide into view as they enter the viewport",Motion or CSS,Yes,scroll,Low,Low,"Content must be accessible before animation; don't hide critical content","Section entrances, card grids, feature lists, landing pages","Above-the-fold content, navigation",Yes,"IntersectionObserver; animate opacity + translateY; threshold 0.1-0.3; once: true for performance"
15,Scroll Velocity Text,Scroll,"scroll velocity speed marquee text momentum","Text moves horizontally at speed proportional to scroll velocity",GSAP or Lenis,No,scroll,Medium,Medium,"Respect reduced-motion; text must be readable when stationary","Editorial, artistic, creative sections","Navigation, critical content, data displays",Partial,"Track scroll delta with Lenis; apply horizontal transform; use lerp for smooth deceleration"
16,Parallax Layers,Scroll,"parallax depth layers speed multi-layer background","Multiple layers move at different scroll speeds creating depth",CSS or GSAP,Yes,scroll,Low,Medium,"Respect reduced-motion; can cause vestibular issues; provide flat fallback","Hero sections, landing pages, storytelling","Data-heavy UIs, dashboards, forms",Partial,"CSS: perspective + translateZ on layers; JS: transform based on scrollY * speed factor; will-change: transform"
17,Scroll Stack Cards,Scroll,"scroll stack cards sticky pile accumulate reveal","Cards stack on top of each other as user scrolls using sticky positioning",CSS,Yes,scroll,Medium,Low,"Ensure card content is accessible in stacked state; keyboard navigation between cards","Feature showcases, case studies, step-by-step guides","Mobile (limited viewport), dense data",Partial,"position: sticky with increasing top offset per card; z-index stacking; optional scale reduction for depth"
18,Horizontal Scroll Section,Scroll,"horizontal scroll section sideways container pin","Vertical scroll translates to horizontal movement within a pinned section",GSAP ScrollTrigger,No,scroll,High,Medium,"Provide alternative navigation (arrows/dots); keyboard accessible; announce section","Portfolios, timelines, product showcases","Mobile (use swipe instead), small screens",Partial,"ScrollTrigger pin + horizontal translateX; calculate total width; snap points optional"
19,Scroll Progress Bar,Scroll,"scroll progress bar indicator reading position","Bar showing how far user has scrolled through content",CSS or JS,Yes,scroll,Low,Low,"Use aria-progressbar role; announce progress to screen readers","Long articles, documentation, reading-heavy pages","Short pages, SPAs with minimal scroll",Yes,"CSS: scaleX based on scroll percentage; or JS: scrollY / (scrollHeight - clientHeight)"
20,Smooth Scroll Sections,Scroll,"smooth scroll snap section fullpage lenis","Smooth scrolling with section snapping for fullpage-like experience",Lenis or CSS,Yes,scroll,Medium,Low,"Allow users to skip sections; keyboard navigation; don't trap scroll","Landing pages, presentations, product tours","Content-heavy pages, documentation, blogs",Yes,"CSS scroll-snap-type: y mandatory; or Lenis with snap config; sections at 100vh"
21,Stagger Grid Reveal,Scroll,"stagger grid items reveal cascade wave entrance","Grid items animate in with cascading wave pattern on scroll",Motion or GSAP,No,scroll,Medium,Low,"Don't hide content that's already in viewport; use once: true","Image galleries, product grids, team pages, portfolios","Data tables, lists where order matters",Yes,"IntersectionObserver on grid; calculate row/col index; delay = (row + col) * staggerMs"
22,Blob Cursor,Cursor,"blob cursor follow gooey liquid organic trail","Organic blob shape follows the cursor with fluid motion",Custom JS + CSS,No,cursor,High,Medium,"Hidden on touch devices; don't obscure clickable elements; z-index management","Creative agencies, portfolios, experimental sites","Enterprise apps, data UIs, mobile",No,"Track mouse position; apply SVG filter for gooey effect; lerp position for lag; mix-blend-mode"
23,Magnetic Elements,Cursor,"magnetic hover pull attract cursor button sticky","Elements subtly pull toward the cursor when nearby",GSAP or custom JS,No,hover,Medium,Low,"Must not interfere with click targets; disable on touch; subtle effect only","Buttons, navigation items, interactive elements","Dense UIs, small targets, mobile interfaces",No,"Calculate distance from cursor to element center; apply transform proportional to distance within threshold"
24,Cursor Spotlight,Cursor,"cursor spotlight light follow radial gradient illuminate","Radial gradient follows cursor illuminating nearby content",CSS or custom JS,Yes,cursor,Low,Low,"Decorative only; don't rely on spotlight for readability; works without on touch","Cards, image galleries, dark themes, portfolios","Light themes where effect is invisible, mobile",No,"CSS: radial-gradient at var(--mouse-x) var(--mouse-y); update via mousemove event; or CSS :has() hover"
25,Tilt Card Hover,Cursor,"tilt card hover 3D perspective rotate mouse track","Card tilts in 3D based on cursor position within the card",Custom JS or react-tilt,No,hover,Medium,Low,"Reset transform on mouse leave; disable on touch; ensure content readable at all angles","Product cards, image cards, portfolios, feature cards","Text-heavy cards, forms, critical content",Partial,"Calculate cursor position relative to card center; apply rotateX/Y with perspective; glare overlay optional"
26,Image Trail,Cursor,"image trail cursor follow gallery photos mouse path","Images appear along the cursor trail as it moves",GSAP or custom JS,No,cursor,High,High,"Purely decorative; hide on touch/mobile; can be performance intensive","Portfolios, creative agencies, fashion sites","Content-focused sites, mobile, slow devices",No,"Pool of pre-loaded images; show/position on mousemove with throttle; fade out with delay; limit active count"
27,Glare Hover Effect,Cursor,"glare hover shine light reflection card surface","Shiny glare effect that follows cursor over card surface",CSS or custom JS,Yes,hover,Low,Low,"Purely decorative; ensure text contrast maintained over glare","Cards, buttons, premium/luxury UIs, glass effects","Dense data, accessibility-focused, high contrast themes",Partial,"Pseudo-element with radial-gradient; position at cursor coordinates; opacity transition on hover"
28,Cursor Proximity React,Cursor,"proximity cursor distance react scale opacity transform","Elements react (scale, glow, rotate) based on cursor distance",Custom JS,No,cursor,Medium,Medium,"Fallback for touch; don't affect usability of nearby elements","Interactive grids, artistic layouts, experimental UIs","Production forms, navigation, mobile UIs",No,"Calculate Euclidean distance from cursor to each element; map distance to CSS property within radius"
29,Aurora Background,Background,"aurora gradient flowing mesh animated background northern lights","Flowing gradient background that slowly shifts colors like aurora borealis",CSS,Yes,continuous,Low,Low,"Subtle and slow; respect reduced-motion; ensure text contrast over all states","Landing pages, hero sections, dark themes, SaaS","Light themes, content-heavy pages where it distracts",Yes,"Multiple layered gradients with animation; filter: blur() for softness; mix-blend-mode for blending"
30,Particle Field,Background,"particles dots floating connected interactive canvas","Floating connected particles that react to cursor or drift independently",tsparticles or Canvas API,No,continuous/cursor,Medium,High,"Decorative; reduce particle count on mobile; respect reduced-motion","Hero backgrounds, loading screens, tech/science themes","Mobile-first, performance-critical, content-focused",Partial,"Canvas API or tsparticles library; requestAnimationFrame loop; spatial partitioning for connections"
31,Gradient Mesh,Background,"gradient mesh multi-point blob organic flowing background","Multi-point gradient with organic blob shapes that slowly animate",CSS,Yes,continuous,Low,Low,"Keep animation subtle; ensure sufficient text contrast","Hero sections, card backgrounds, landing pages","Small elements, data-dense UIs",Yes,"Multiple radial-gradient layers; animation: move with different durations per layer; filter: blur for softness"
32,Noise Grain Overlay,Background,"noise grain texture overlay film vintage static","Subtle noise/grain texture overlay for depth and character",CSS or SVG,Yes,static/continuous,Low,Low,"Purely decorative; ensure it doesn't reduce text readability","Vintage aesthetics, photography, editorial, dark themes","Clean/minimal UIs where grain adds clutter",Yes,"SVG filter feTurbulence; or CSS background-image with noise.png; mix-blend-mode: overlay; opacity: 0.03-0.08"
33,Liquid Chrome,Background,"liquid chrome metallic reflection morphing organic 3D","Metallic liquid surface with organic morphing reflections",Three.js or WebGL,No,continuous,High,High,"Purely decorative; provide static fallback; heavy GPU usage","Creative agencies, music, fashion, luxury brands","Enterprise, healthcare, performance-critical mobile",No,"WebGL shader with noise functions; or Three.js MeshPhysicalMaterial with envMap; high reflectivity"
34,Grid Distortion,Background,"grid distortion warp hover cursor mesh deform","Grid of lines/dots that distort around cursor position",Three.js or Canvas,No,cursor,High,Medium,"Decorative; disable on touch; provide static grid fallback","Tech portfolios, creative sites, interactive art","Content-focused, mobile, accessibility-focused",No,"Grid of vertices; apply displacement based on cursor distance; use spring physics for return; WebGL preferred"
35,Wave Lines,Background,"wave lines flowing sine animated undulating curves","Animated flowing wave lines across background",CSS or Canvas,Yes,continuous,Low,Low,"Subtle motion; respect reduced-motion","Calm aesthetics, wellness apps, ocean/nature themes, SaaS","Energetic themes, gaming, dense UIs",Yes,"SVG path with animated d attribute; or CSS with multiple box-shadows; or Canvas with sine functions"
36,Dot Grid Pattern,Background,"dot grid pattern polka animated hover reactive","Grid of dots that react to hover or animate subtly",CSS or Canvas,Yes,static/cursor,Low,Low,"Decorative; maintain text readability over pattern","Backgrounds, cards, tech aesthetics, minimal themes","Heavy content areas, image-heavy layouts",Yes,"CSS radial-gradient repeating; or SVG pattern; cursor reaction via CSS custom properties"
37,Iridescence,Background,"iridescent holographic rainbow shift angle gradient","Holographic rainbow effect that shifts based on angle or cursor",CSS or WebGL,Partial,cursor/scroll,Medium,Medium,"Ensure text contrast; decorative layer behind content","Premium products, fashion, creative, experimental","Corporate, healthcare, high-contrast requirements",Partial,"CSS: conic-gradient + hue-rotate animation; or WebGL shader; filter: saturate + brightness"
38,Pixel Trail,Background,"pixel trail cursor blocks retro 8bit path","Pixelated trail follows cursor leaving temporary pixel marks",Canvas,No,cursor,Medium,Medium,"Decorative; hide on touch; clear trail periodically","Retro/gaming themes, creative portfolios, playful brands","Professional/corporate, mobile",No,"Canvas overlay; render pixel blocks at cursor position; fade out with requestAnimationFrame"
39,Plasma Background,Background,"plasma organic flowing color shifting gradient noise","Organic plasma-like background with shifting colors",WebGL or CSS,Partial,continuous,Medium,Medium,"Slow animation; respect reduced-motion; ensure content readability","Artistic, creative, music, entertainment","Data UIs, text-heavy, mobile-first",Partial,"WebGL fragment shader with noise; or CSS with multiple animated gradients; filter: blur + contrast trick"
40,Spring Animation,Physics,"spring bounce physics natural overshoot settle","Element animates with spring physics (bounce, settle, overshoot)",Motion/React Spring,No,interaction,Low,Low,"Feels natural; keep damping reasonable to avoid excessive bouncing","Buttons, modals, toasts, page transitions, dropdowns","Subtle UI transitions where bounce feels wrong",Yes,"Motion: type spring with stiffness/damping/mass; React Spring: useSpring with config presets"
41,Gravity Drop,Physics,"gravity drop fall physics weight realistic bounce","Elements fall with realistic gravity simulation and bounce",Matter.js or Rapier,No,load/interaction,High,High,"Fun but can be disorienting; provide static layout fallback","Playful brands, games, creative agencies, interactive art","Production UIs, forms, serious/professional contexts",Partial,"Matter.js: create bodies + ground; or CSS with cubic-bezier approximation; control with restitution/friction"
42,Elastic Interaction,Physics,"elastic stretch rubber band pull snap return","Elements stretch and snap back with elastic/rubber-band physics",Motion or GSAP,No,drag/interaction,Medium,Low,"Must feel responsive; element should return to original position","Sliders, pull-to-refresh, drag interactions, playful UIs","Precise positioning, data-entry, professional tools",Yes,"Spring animation with low damping; track drag delta; apply scale/translateX proportional to drag"
43,Magnetic Snap,Physics,"magnetic snap grid attract lock position physics","Elements snap to grid positions or other elements with magnetic attraction",Custom JS,No,drag,Medium,Low,"Provide clear snap feedback (haptic on mobile); keyboard alternative for positioning","Kanban boards, layout builders, design tools, puzzle games","Read-only content, simple lists, forms",Partial,"Calculate nearest snap point; apply spring animation to snap position; threshold for activation distance"
44,Ballpit,Physics,"ballpit balls physics collision container interactive","Collection of physics balls that collide and interact in a container",Matter.js or Rapier,No,continuous/interaction,High,High,"Purely playful; heavy on performance; limit ball count; provide static alternative","404 pages, loading screens, creative portfolios, games","Serious UIs, mobile, performance-critical",Partial,"Matter.js: create circular bodies in bounded container; mouse constraint for interaction; gravity + collision"
45,Floating Elements,Physics,"floating hover bob gentle up down sine wave","Elements gently float up and down with sine wave motion",CSS or Motion,Yes,continuous,Low,Low,"Subtle; respect reduced-motion; don't apply to interactive elements","Decorative elements, illustrations, backgrounds, hero sections","Buttons, inputs, navigation, text content",Yes,"CSS: animation: float 3s ease-in-out infinite; @keyframes float { 50% { transform: translateY(-10px) } }"
46,Tilt Card 3D,Card,"tilt card 3D perspective hover rotate depth","Card tilts in 3D following cursor with perspective and depth effect",react-tilt or custom JS,No,hover,Medium,Low,"Reset on mouse leave; glare optional; disable on touch devices","Product cards, portfolios, feature showcases","Mobile-primary, text-heavy cards, forms",Partial,"perspective on parent; calculate rotateX/Y from cursor position; transition on mouse leave; requestAnimationFrame"
47,Card Flip,Card,"card flip rotate 3D front back toggle reveal","Card flips to reveal content on the back side",CSS,Yes,click/hover,Low,Low,"Ensure both sides are accessible; announce flip to screen readers","Info cards, flashcards, team members, before/after","Dense data, frequently-accessed content",Yes,"transform-style: preserve-3d; backface-visibility: hidden; rotateY(180deg) on flip; transition: transform 0.6s"
48,Stacking Cards,Card,"stack cards scroll sticky pile overlay accumulate","Cards stack on top of each other as user scrolls",CSS,Yes,scroll,Medium,Low,"All cards must be navigable; announce stack to screen readers","Feature lists, case studies, pricing tiers, portfolios","Mobile (viewport too small), data tables",Partial,"position: sticky; incrementing top values; z-index ordering; optional scale reduction for depth illusion"
49,Card Swap,Card,"card swap drag swipe tinder stack gesture","Cards can be swiped/dragged to dismiss revealing the next card",Motion or @use-gesture,No,drag/swipe,High,Low,"Announce card changes; provide alternative navigation (buttons); keyboard support","Dating apps, product browsing, flashcards, decision UIs","Sequential content where order matters, forms",Yes,"Drag gesture tracking; spring animation for snap-back; threshold for dismiss; rotate based on drag direction"
50,Bounce Cards,Card,"bounce card entrance spring overshoot appear","Cards animate in with bouncy spring overshoot effect",Motion or React Spring,No,scroll/load,Low,Low,"Keep bounce subtle; excessive bounce feels unprofessional","Feature grids, team pages, product cards","Dense dashboards, serious/medical UIs",Yes,"Motion: initial/animate with type:spring; staggerChildren for grid; custom stiffness/damping"
51,Glass Card,Card,"glass card frosted blur transparent glassmorphism","Frosted glass effect card with backdrop blur and subtle border",CSS,Yes,static/hover,Low,Low,"Ensure 4.5:1 contrast for text over glass; vibrant background needed behind card","Overlays, modals, floating cards, modern SaaS","Low-contrast backgrounds, text-heavy content",Yes,"backdrop-filter: blur(12px); background: rgba(255,255,255,0.1); border: 1px solid rgba(255,255,255,0.2)"
52,Spotlight Card,Card,"spotlight card hover glow highlight radial border","Card with radial spotlight glow following cursor on hover",CSS + custom JS,No,hover,Low,Low,"Decorative; card content must be readable without spotlight effect","Feature cards, pricing cards, dark themes","Light themes, mobile-primary, data tables",Partial,"Track mouse within card; radial-gradient at cursor position; apply to border or background"
53,Decay Card,Card,"decay card hover dissolve particle disintegrate fade","Card dissolves into particles or fades with decay effect on interaction",Canvas or GSAP,No,hover/click,High,High,"Provide alternative interaction; don't use for primary content","Creative portfolios, artistic sites, special transitions","Production UIs, e-commerce, content sites",No,"Canvas: sample card pixels; create particles at pixel positions; apply physics for dispersal"
54,Dock Navigation,Navigation,"dock navigation magnify scale hover macOS taskbar","macOS-style dock where items magnify on hover proximity",Motion or custom JS,No,hover,Medium,Low,"Ensure all items remain clickable; keyboard navigation; announce active item","App navigation, tool palettes, creative apps","Mobile (no hover), dense navigation, accessibility-focused",No,"Calculate cursor distance to each item; scale based on proximity; layout with flexbox gap compensation"
55,Gooey Navigation,Navigation,"gooey navigation blob morph organic SVG filter menu","Navigation with organic blob that morphs between items using SVG gooey filter",CSS + SVG filter,Partial,click/hover,High,Medium,"Provide clear active state; keyboard accessible; screen reader announces current","Creative sites, artistic portfolios, playful brands","Corporate, healthcare, data apps, mobile",Partial,"SVG filter feGaussianBlur + feColorMatrix; background blob positioned at active item; animate with motion"
56,Staggered Menu,Navigation,"stagger menu items cascade reveal slide entrance","Menu items animate in with staggered cascade timing",Motion or GSAP,No,click/toggle,Low,Low,"Keep total animation under 400ms; don't delay access to navigation items","Mobile menus, sidebar navigation, dropdown menus","Instant-access navigation, toolbar buttons",Yes,"AnimatePresence with staggerChildren; translateX or translateY + opacity; exit reverse stagger"
57,Flowing Menu,Navigation,"flowing menu wave organic smooth curved motion","Menu items flow in with smooth curved organic motion paths",GSAP MotionPath or Motion,No,click/toggle,Medium,Low,"Items must settle quickly; keyboard navigation from first item","Creative mobile menus, full-screen overlays, artistic sites","Quick-access toolbars, breadcrumbs, tabs",Yes,"Motion path or curved bezier animation per item; stagger timing; spring settle at final position"
58,Pill Navigation,Navigation,"pill navigation sliding indicator active smooth tab","Active indicator slides smoothly between navigation items",Motion or CSS,Yes,click,Low,Low,"Announce active tab; keyboard tab navigation; high contrast active state","Tab bars, segmented controls, category filters","Primary navigation, deeply nested menus",Yes,"Absolute positioned indicator; animate left/width or translateX to active item position; layoutId in Motion"
59,Animated Sidebar,Navigation,"sidebar slide animate expand collapse panel drawer","Sidebar panel that smoothly slides open and closed with content reflow",CSS or Motion,Yes,click/toggle,Low,Low,"Focus trap when open (modal sidebar); announce open/close; keyboard escape to close","App navigation, settings panels, filter panels","Always-visible navigation on desktop",Yes,"transform: translateX(-100%) to translateX(0); transition: transform 300ms ease; width animation for push style"
60,Infinite Marquee,Marquee,"marquee infinite scroll loop text horizontal continuous","Continuously scrolling text or elements in horizontal loop",CSS,Yes,continuous,Low,Low,"Provide pause on hover; respect reduced-motion; content must be accessible statically","Ticker tapes, partner logos, announcements, decorative text","Primary content, navigation, critical information",Yes,"Duplicate content for seamless loop; animation: scroll linear infinite; @keyframes scroll { to { translateX(-50%) } }"
61,Logo Loop,Marquee,"logo loop carousel infinite scroll brand partner client","Smoothly scrolling loop of logos or images",CSS or Motion,Yes,continuous,Low,Low,"All logos need alt text; pause on hover; reduced-motion stops animation","Client logos, partner sections, trust indicators","Primary content, hero sections",Yes,"Flex container with duplicated logos; CSS animation translateX; gap for spacing; will-change: transform"
62,Vertical Marquee,Marquee,"vertical marquee scroll up down continuous loop text","Continuously scrolling vertical content loop",CSS,Yes,continuous,Low,Low,"Pause on hover/focus; content accessible without animation","Testimonials, news tickers, notification feeds","Interactive content, forms, navigation",Yes,"Same as horizontal marquee but with translateY; animation: scrollY linear infinite"
63,Marquee Along Path,Marquee,"marquee path SVG curve custom route animated text","Text or elements scroll along a custom SVG path",CSS + SVG or GSAP MotionPath,No,continuous,Medium,Medium,"Decorative; provide static text alternative; complex path may cause nausea","Artistic sections, creative headers, decorative elements","Body content, mobile-first, performance-critical",Partial,"SVG textPath with animated startOffset; or offset-path with offset-distance animation; GSAP MotionPath"
64,Circling Elements,Marquee,"circle orbit rotate elements around center point","Elements orbit around a central point in circular motion",CSS,Yes,continuous,Low,Low,"Decorative; ensure orbiting elements don't obscure content","Feature highlights, tech stack displays, skill badges","Interactive elements, mobile (too small), navigation",Partial,"Position absolute on circle; animation: orbit linear infinite; calculate positions with trigonometry"
65,SVG Gooey Filter,SVG,"gooey SVG filter blob merge organic sticky","SVG filter creating organic gooey/sticky effect on elements",SVG + CSS,Yes,continuous/hover,Medium,Medium,"Purely decorative; doesn't affect content; can be GPU-intensive on many elements","Backgrounds, navigation highlights, loading indicators","Text content, forms, critical UI elements",Partial,"SVG filter: feGaussianBlur(stdDeviation=10) + feColorMatrix(type=matrix) values for alpha threshold"
66,Morphing SVG,SVG,"morph SVG path shape transition transform interpolate","SVG shapes smoothly morph from one form to another",GSAP MorphSVG or flubber,No,click/hover/scroll,Medium,Low,"Provide static SVG for reduced-motion; announce shape changes if meaningful","Icons, illustrations, loading states, decorative transitions","Complex illustrations with many paths, mobile-first",Yes,"Match path point counts; use flubber.interpolate for different point counts; animate d attribute"
67,SVG Path Drawing,SVG,"SVG path draw stroke line animation reveal trace","SVG stroke animates from 0 to full length creating drawing effect",CSS or GSAP,Yes,scroll/load,Low,Low,"Decorative; final SVG should be immediately visible for screen readers","Logo reveals, illustrations, section dividers, loading","Complex detailed SVGs (slow draw), mobile-first",Yes,"stroke-dasharray: pathLength; stroke-dashoffset: pathLength to 0; transition or @keyframes"
68,Metaballs,SVG,"metaballs merge blob organic connect gooey physics","Blob-like shapes that merge when near each other creating organic forms",Canvas or SVG filter,No,continuous/cursor,High,High,"Decorative; performance heavy; limit count; disable on low-power devices","Creative backgrounds, loading screens, artistic portfolios","Production UIs, mobile, performance-critical",No,"SVG gooey filter on multiple blobs; or Canvas with marching squares algorithm; cursor interaction optional"
69,SVG Pixelate Filter,SVG,"pixelate SVG filter mosaic block pixel hover reveal","Pixelation effect using SVG filter that can transition to clear",SVG + CSS,Yes,hover/scroll,Low,Low,"Ensure content is visible in final state; decorative transition only","Image reveals, hover effects, retro aesthetics","Text content, critical images, accessibility-focused",Yes,"SVG filter: feFlood + feComposite + feMorphology; animate filter params; or canvas pixelation"
70,Model Viewer,3D,"3D model viewer interactive rotate zoom WebGL object","Interactive 3D model that can be rotated and zoomed",Three.js or model-viewer,No,interaction,High,High,"Provide 2D fallback image; alt text description; keyboard rotation controls","Product showcases, e-commerce, education, architecture","Mobile-first (performance), text-heavy pages",Partial,"@google/model-viewer web component; or Three.js with OrbitControls; GLTF/GLB format; lazy load"
71,3D Card Stack,3D,"3D card stack depth perspective layer floating","Cards arranged in 3D space with depth and perspective",CSS or Three.js,Partial,scroll/hover,Medium,Medium,"Provide flat layout fallback; ensure content readable; keyboard navigation","Feature showcases, portfolio, pricing comparison","Dense data, mobile, accessibility-focused",Partial,"CSS: perspective on container; translateZ per card; hover: increase translateZ for pop-out effect"
72,Orbit Gallery,3D,"orbit gallery 3D circular rotate images carousel sphere","Images arranged in 3D orbit that can be rotated",Three.js or CSS,No,drag/auto,High,High,"Provide flat gallery fallback; alt text on all images; touch-friendly drag","Portfolio, product gallery, team showcase","Mobile (performance), many images, content-focused",Partial,"CSS: transformStyle preserve-3d; rotateY per item; container rotateY on drag; or Three.js with group rotation"
73,Cubes Background,3D,"cubes 3D rotating background geometric floating blocks","3D cubes floating and rotating in background",Three.js,No,continuous,High,High,"Purely decorative; static fallback; heavy GPU; reduce count on mobile","Tech sites, creative agencies, geometric aesthetics","Mobile-first, performance-critical, content-focused",No,"Three.js: BoxGeometry instances; random rotation animation; MeshPhysicalMaterial; InstancedMesh for performance"
74,Page Transition,Transition,"page transition route animate slide fade morph","Animated transitions between pages or routes",Motion or GSAP Flip,No,navigation,Medium,Low,"Don't delay navigation; keep under 400ms; announce page change","SPAs, portfolios, product pages, storytelling sites","Content-heavy apps where speed matters most, dashboards",Yes,"AnimatePresence with mode='wait'; exit/enter animations; shared layout for hero transitions"
75,Shared Element Transition,Transition,"shared element hero transition morph between pages views","Element morphs smoothly from one view to another across pages",Motion layoutId or View Transitions API,No,navigation,High,Low,"Maintain element accessibility during transition; announce destination","Image galleries to detail, list to detail, product browsing","Unrelated pages, complex layouts, mobile (performance)",Partial,"Motion: layoutId on shared elements; View Transitions API (experimental); FLIP technique for manual"
76,Modal/Sheet Animation,Transition,"modal sheet bottom slide scale fade overlay drawer","Modals and sheets animate in from trigger source or bottom",Motion or CSS,Yes,click,Low,Low,"Focus trap; escape to close; announce to screen readers; restore focus on close","Modals, bottom sheets, dialogs, drawers","Inline content expansion where modal isn't needed",Yes,"scale(0.95) + opacity:0 to scale(1) + opacity:1; or translateY(100%) for sheets; spring timing"
77,Skeleton Loading,Transition,"skeleton loading placeholder shimmer pulse content","Shimmer/pulse effect on placeholder shapes while content loads",CSS,Yes,load,Low,Low,"Use aria-busy; provide loading text for screen readers; match final layout dimensions","Content loading states, image placeholders, card skeletons","Tiny elements, already-cached content, instant loads",Yes,"@keyframes shimmer with background-position; linear-gradient with animated position; or opacity pulse"
78,Sticker Peel,Interaction,"sticker peel corner lift reveal underneath fold","Element peels away from corner like a sticker being removed",CSS or GSAP,Partial,hover/drag,High,Low,"Provide click alternative; ensure content underneath is accessible","Reveals, coupons, decorative interactions, playful UIs","Critical actions, frequently-used interactions, mobile",Partial,"clip-path animation; pseudo-element for shadow; perspective + rotateY for 3D peel effect; drag for interactive"
